,cat,label,review
1011,书籍,1,史上最有水平的家教（主要是幼教）参考书。首先是有理论基础（俺也是一名心理工作者，作者引经据典，足见其知识广博）；其次是有实践（自家的孩子总是最有说服力）而且还有具体的指导意义（不过分强调个体的差异性，而是从教育上的共同问题点入手）……还有，各章节篇幅短小，即使孩子再吵闹，也能利用他短暂的消停时间读上一两章。唯一遗憾的是，单单一本根本看不过瘾，希望有续集。
25811,水果,0,不新鲜，冻了！以后不会买了，失望！
58872,酒店,0,一个字，屎，尤其前台和早餐的服务，绝对的差到极点
35095,洗发水,0,效果怎样现在还没看出来，但我是设计上差到极点，一摇就从上面漏水，这款产品本来就是要摇匀才能用的，不知道这么设计是几个意思。还有就是喷头，很死板，一按就按到底，还需要很大的力气，而且配头还喜欢乱转。如果可以，一分都不想给
60694,酒店,0,感觉相当差劲，异味很大，性价比太低，绝不会再入住。
39538,衣服,1,质量不错 款式喜欢，价格也实惠
45415,衣服,0,衣服不怎么的 不好
30165,洗发水,1,宝贝收到就好了，产品还不错，以前一直在用这款洗头膏，令我不解的是，我是在秒的的产品*，怎么下单去买的时候价格就成了*了，快递很快，当天就到了。
35712,洗发水,0,包装简陋，和去沃尔玛买的用起来不一样
46579,衣服,0,还能再慢点吗
21365,水果,0,不好，不新鲜，不好吃，。。。。。。。。。。。。。。。
44072,衣服,0,尺寸不对，买回来没法穿，平时都是穿31的，瘦了十几斤，这次买31竟然穿不进。服了
50242,计算机,1,外观大气、漂亮，散热好，噪音低，尤其带的小键盘对造价人员非常方便适用。速度、性能均感觉不错。自带的VISTA系统挺好的啊，掌握方法，用起来比XP更爽。
43792,衣服,0,裤子好差劲，要沾毛，真是无语了还那么贵。
26377,洗发水,1,我买的清扬，给我媳妇用这个试试。
18970,水果,1,苹果很新鲜，酸酸甜甜宝宝也很喜欢
33929,洗发水,0,东西不错，但是为什么我要求的发票没有啊
30029,洗发水,1,物品完好，到货速度快，洗发水挺好
49322,计算机,1,外观时尚、亮丽、精致，无可挑剔，系统带很多新软件，最喜欢movie story，可以自己剪辑视频和电影片段，还有很多新功能有待发现~~
33560,洗发水,0,这是假的吧 我在店里买的洗的头发没头皮屑 这个有 我好少有洗的有头皮屑的洗发水
22156,水果,0,缺斤少两、物流滞后。韵达态度恶劣！建议商家改进！苹果味道不错！
57403,酒店,1,10月19日上岛的，11点到大堂，房间还没有好要等到下午1点，于是寄存行李，步行欣赏沿途风光，快12点赶往冬季码头潜水，中午工作人员为了节省时间没有培训就把我们送上船了，好在我的东北教练很负责任给我额外培训，虽然受天气影响能见度不高只看到几只小丑鱼，海葵和珊瑚，但也是很美好的潜水回忆了。---上午的时间安排很成功，避免了等待及厌烦。下午1点结束潜水在冬季码头乘坐免费的电瓶车到大堂，直接拿房间钥匙，由电瓶车免费送上去。不过观海木楼在山顶，有多个台阶车子只送到一半，要自己走上去。房间是8626有很不错的角度看海景，房间很有特色，设施齐全室外还有独立的游泳池，蜜月旅行酒店还特意送了果盘，潜水耳朵进水要了棉签，服务生很快就爬上山送来了，感觉这里的服务很错的。不过因为出于“室外桃源，人间仙境”的岛上，人和小动物和谐共处，所以有很多小家伙出入，我们看到好几只壁虎，小虫，飞蛾还有蛤蟆，蛤蟆从门缝钻进房间一跳就找不到了，我紧张的打电话给前台问是否会有蛇，蛤蟆还不算可怕，如果有蛇就太恐怖了，服务生说房间附近的草木都洒了硫磺，绝对不会有蛇的，还热心的问是否需要来帮我抓蛤蟆，被我们谢绝了。害怕有别的小东西再进来，老公用报纸堵住门缝，喷了防蚊药水，还把墙上的几个木头洞用纸巾堵上了，不过我还是睡不踏实，半夜4点惊醒尖叫，原来蛤蟆跳到被窝里把我吓醒了！ 老公惊醒就来说赶蛤蟆，那场景真实难忘啊！ 回来的路上老公还戏称这为“美好的回忆”呢！心惊胆战的度过一夜人很累一直睡到早上10点多，错过了看日出，在木楼上景色很不错，我们享受好美景就去退房，速度很快，服务态度也很好。然后又帮我们把行李存好。退房后我们又继续沿海滩行走，玩水到中午12点去海鲜自助餐厅吃“早中饭”，40元一人，虽然海鲜种类不多，可无限量供应的和乐蟹让人过足了瘾，伴着碧海蓝天椰林进餐，真是享受啊。 吃好饭继续边走边看，一直走到未开发禁止通行牌才打道回大堂，再乘免费电瓶车送到码头坐船。 时间很充裕的，因为我们把无谓的等待时间都利用起来了，感觉很不错。
43560,衣服,1,主人不错，而且很热情。希望你的生意 越做越好啊！！呵呵
27776,洗发水,1,618活动加神券，超级给力，就是券难抢，东哥又不多发点券。东西很好用，用冷水洗很凉爽，大夏天给几力。
8102,平板,1,地址有点差异及时联系客服，客服顺利解决了，谢谢。平板还可以吧，平时使用还行，王者荣耀也不是那么卡
10985,平板,0,提醒后面的买家，最好买意外碎屏险，手机质量不好，甩下就破了，真的甩了，各种抠字眼。客服推京东，京东推保险，我买了保险可以16天后生效，回来第二天不小心甩了下碰到东西了就破了。总得来讲，买东西要谨慎！给我侄子买的苹果ipad天天被侄子甩来甩去的，怎么摔都不会坏，现在没办法了，只能联系售后维修，换屏要*哎！赶上买手机钱了！冷
19016,水果,1,包装很到位，快递员小哥很负责的送到家。尝试一下味道还行，因为一分钱一分货，比起新疆苹果味道是差些，不过这个季节有这个价位的苹果就算不错了。好评！
4984,平板,1,很好的产品
54553,酒店,1,宾馆周围环境不错，离商业区很近，而且幽静。不过宾馆有些老了，装修都过时了。
32091,洗发水,0,用起一点都不舒服，头发巨痒，每天晚上还要扣痒，觉都睡不好
30499,洗发水,1,上午下单下午就到了，包装的很好
59125,酒店,0,"价格太贵的问题，房间还是太小,空调有时候都没有开，房间厕所的抽水马桶也坏的"
3884,平板,1,高配功能更为齐全 建议有钱就有高配起来比较好！
49198,计算机,1,"外观我喜欢，总体来说还不错,买了四五天了,还未发现问题,驱动可以上官网下载,也挺快的."
43117,衣服,1,还不错，有弹性，裤型也好看！
27460,洗发水,1,我感觉还是比较划算的，用惯了沙宣，味道还行
1585,书籍,1,刚拿到这套书。每本书都很薄，丰富的图画，简单的句子，每本书都是通过替换简单的单词来重复同样的句型，这种方式来学习，应该不辛苦！CD的歌曲很有意思，就是第一课中的一段音乐太长了点，弄得你莫名其妙。孩子7岁了，上一年级，学了有四年英语，在幼儿园学的。培养了语感，但单词都没好好记过。通过这套书，应该能够让他好好记记单词。就是价钱太贵了，都是影印的，一套就要127元多。能便宜些才符合中国国情。
16357,水果,1,苹果的品质不错，比较喜欢这口感，而且挺新鲜脆脆的，下回还会来买
35872,洗发水,0,洗了一头头皮屑，不好
22636,水果,0,没吃，看着就不爽，留着提醒，算个教训，买完就搞个秒杀降价，有些还有瑕疵，什么价格保护个屁。
48836,计算机,1,IBM的本本我用的最多，也是感觉最好的本本。其他厂商的用坏过不少，老款的一些现在还有几个基本成了垃圾。 购买这一款主要还是品牌，以后除了IBM，我不会购买其他品牌本本了。 优点多多，不一一赘述，主要是速度，制作工艺，坚固性和品牌偏好度。
42042,衣服,1,裤子质量不错，最主要的是爸爸穿起来帅气，很舒适，他很喜欢。
61491,酒店,0,与上海航空的高大上形象相比差距较大，只能算的上经济型快捷酒店
35938,洗发水,0,不咋地 洗过了头皮痒 还有头皮屑
59481,酒店,0,靠马路，晚上太噪。早餐较差。长途电话应该是IP的，收费0.8元/分钟。补充点评 2007年12月25日 ： 洗澡水不是很大。
15900,手机,0,太多太多，电池已坏了，不知什么时候就关机了，没有提示音啊！惨啊！！
38290,蒙牛,0,嗯，我一般也不会抵制一个企业，除了蒙牛这样扶不上墙的垃圾。戴尔暂时从黑名单里捞出来，看看效果
2728,书籍,0,忘了加上一点：这本书的作者脑子有问题，胡言乱语一通，看看书的语言就可看出作者白痴一个。可笑的是里面引用了很多经书，好像是编辑加上去的。强烈建议将作者绳之以法，将不负责任的这家出版社直接国家接管，太害人了，伪科学的典型。
50712,计算机,1,性能不错，03跑了15000，其他的还没跑 装WIN7驱动可以自动搜索，XP驱动也比较好装。其他的再使用中。
27580,洗发水,1,还没有用，不过包装挺好的，不知道是不是正品，瓶子挺软的
26603,洗发水,1,是正品，而且卖家还送了一大瓶护发素，好评。
13185,平板,0,买回来充电口有划痕，充电线半天才能拔下来，真服了
18743,水果,1,还行，不是太好吃，和实体店同价格的比起来不占优，果子有点小
21502,水果,0,让我怎么给好评，三个都坏了，图片仅供参考
2020,书籍,1,原文请见http://twzlm.blog.hexun.com/31436136_d.html
24792,水果,0,三个火龙果烂两个，还有一个快烂了
20791,水果,1,每次在京东买东西都非常满意。每次在京东买东西都非常满意。
26495,洗发水,1,一直在用沙宣，感觉很好用，这个价格买到真是物超所值啊！！
53939,酒店,1,"我们入住的是家庭房,外部靠山路,本担心会吵,入住后发现窗户隔音还不错,内部环境尚可,早餐一般.卫生间的淋浴出入量挺大,沐浴感受不错.如果连续两天均要去海边,建议住在连岛内."
18796,水果,1,很脆。水分多，不酸但也不算甜。
57463,酒店,1,清明小长假过去的，和晓起的农家标间比较，这个价格和设施还是比较有竞争力的。不远处有锦江之星，如果事先知道，应该会选择锦江。毕竟酒店有些陈旧，感觉只有三星标准，而且早餐尤其惨不忍睹。
4261,平板,1,上午下单下午货就收到了，特意用了几天才上来评价，除了分辨率差了一点点。其他方面性能都算比较好。这个价钱绝对值得你买！！！
28176,洗发水,1,还行，可以扫二维码的，是真的，我妈说挺好的
18136,水果,1,问贵号订的苹果儿收到啦!东西包装的很好，卖家和客服服务态度也很热情呢，还有物流速度和配送员送货速度都很快，总之这次购物由于各方都很棒，所以我们也心情舒畅，准备晚上家人品偿后再加大力度多买些;邀请亲朋好友来团购哦?!
1686,书籍,1,"读南先生的书,就如同在迷雾中行走时突然看到前方有一个光亮在远远地牵引着你,让你心中为一之一振.对于人生、对于这个世界我们有太多想了解的东西,这套书会给我们很多的启发，相信每个人看过都会有所得。虽然这套书的内容很多在网上已看过，但是还是很迫切地买了一套自己收藏，随时再拿出来仔细品读，个人觉得买这套书真的是非常值得，能在茫茫书海中碰到这套书真的感觉很幸运！唯一的小小遗憾就是字有点小！"
38907,衣服,1,宝贝很好，老公穿着很合适，非常喜欢
30210,洗发水,1,也没有搞活动，整体来说还不错，我觉得比超市的应该差不多，关键是送货快啊，昨天晚上买的，今天就已经搞定了，太牛了，手工点赞！
9215,平板,0,屏幕不怎么灵敏！就一般吧！但是快递确实很给力！
22210,水果,0,不能评0分，所以打了1分，已经估计到下层可能有烂苹果，没想到那么多，真心不值。
7610,平板,1,给公司买的 还不错还不错
24217,水果,0,京东自营的水果真不好说。不怎么样
32765,洗发水,0,太垃圾了，刚洗完头发就全是油，表示再也不会买了……
258,书籍,1,这本书真的是挺实用的，里面的内容都很口语化，很地道。附带的光碟有录音，很纯正，存到MP3里，没事的时候经常拿出来听听，效果很不错，都是些日常生活中的简单却很实用的句子，话题也很广泛。总之，物有所值。而且，这本书是我在图书大厦看好了回来才在网上买的，事先在几家网站比较了一下，当当是最优惠的哦！呵呵，以后会继续光顾的。同时也希望当当再接再厉，努力做好服务，回馈顾客。
31381,洗发水,0,一直信赖清扬，就是一起来的沐浴露泄露了，包装都不防撞，流出来好多
44248,衣服,0,感觉被骗了……与客服交流，只是搪塞！    准备入手的小伙伴自己看吧——图一是两条裤子对比，其中一条叫领般，另一条就他家的了。可是你们看到了，一模一样！除了牌子不一样，其他一模一样，发货地址都一样，也不知他两家在哪个小作坊贴的牌！    图二是稀稀拉拉的走线！    图三是我收到的裤子材质细看    图四是他们宣传照片。小伙伴们自己对比图三和图四吧……    反正他家客服咬定是一样的，不知道你们觉得一样不。
52255,计算机,0,唯一感觉不足的是硬盘就分了两个驱，每个100多G，要是能分成3个或更多就好了，呵呵
54963,酒店,1,慈溪酒店挺多的，国际相对其他酒店来说，交通比较方便。实在不认识路，问下路人估计应该都知道。作为一家四星的酒店，应该来说，该有的都有了，大堂挺气派的。一楼的房间跟其他的有点不同，可能价钱稍微便宜的缘故吧。总的来说，性价比还是比较高的。
38595,蒙牛,0,好恶心哦，以后再也不喝蒙牛了
25759,水果,0,"今天买了九个有一个表皮有些烂我还能接受，但是购买的山竹和蓝莓坏的太多了，我真是无语O__O""…看来你离消费者越来越远了！不再是当初在京东相识的你了！！"
21312,水果,0,苹果包装太差劲了，打开包装已经有一个完全烂掉了，很多脏水!
15429,手机,0,音量实在太小，按键缝隙容易进灰尘！
2160,书籍,0,真不知道受众是针对怎样的人群。这种文笔与内容具空洞无聊的小说究竟是满足了500强圈子外仰望小职员的YY癖还是蒙骗从未踏入社会搞不清状况的职场新鲜人才得以如此大受欢迎？看了几十页实在翻不下去，充满矫揉造作气息的情节设置与对话，看久了会变白痴的一本书。拿电视剧做比方的话也就曹颖版的《律政俏佳人》可与之比肩了八~ I feel sooooo sick.....
50794,计算机,0,系统无法正常进入，硬盘有不正常的声音。产品遇到质量问题应该属于正常，但京东的服务态度实在令人不满：对于换货申请的处理极为不负责任，制作各种困难。强烈要求京东换货！
53289,酒店,1,国庆期间携程特价入住该酒店豪华房，这是第一次入住沈阳的该酒店，以前一直入住青年公园附近的凯宾斯基，有以下几点印象——1、从硬件设施来讲，黎明酒店非常不错，和凯宾斯基有一比，比我们上海的五星酒店的硬件都要好，特别是卫生间，明亮、宽敞、干净；2、虽然环境略显荒凉，但距离沈阳的中街商业区步行也只需25分钟，交通很方便；3、从软件来讲，携程预定时标明房间的宽带是免费的，可是入住后发现要收费，随即与携程取得联络，告知免费（这里表扬一下携程，有职业操守！很好！）；4、不过入住酒店后发生了一件本来很不愉快地经历，让我差一点从此放弃日后入住该酒店；由于我的老父亲头发乌过了，因此，弄脏了酒店的枕套，客房清理人员随即让我赔偿50元，这是我第一次入住五星级酒店让我赔偿，在结账时告知了前台，并打算把那个天价枕套拿走留个纪念，也许前台的小姐也觉得实在不好意思，随即不知道和谁打了电话，告知不用赔偿了，并诚恳地向我表示希望下次继续入住黎明酒店。我这里并不是说这区区50元，只是这50元背后显示了酒店的服务意识和服务理念。沈阳的经济虽然落后，但服务行业的服务态度普遍不好，但这次入住黎明酒店使我明显感觉到了沈阳这个最大的东北城市的服务意识与服务态度的提高。相比较而言，服务行业服务最好的城市当首数深圳市，就连上海都没法和深圳比，但尽管如此，上海仍然可以排在第二位，但与深圳的服务质量的差距很大；沈阳和北京的服务态度其实差不多，但这次入住黎明，使我感受到了一点不一样，也许我们的老工业基地真的在发生巨变。希望如此！再多说一句，服务行业，服务的态度和质量是服务行业的生命！通过这次入住，赞扬携程、赞扬黎明酒店。
43794,衣服,0,垃圾，还说质量保证，朋友说算了，叫我不要退货
57827,酒店,0,"酒店有餐厅但只提供早餐,没有午饭和晚饭,要跑到酒店外面自己找饭店去吃,非常不方便."
49554,计算机,1,做工不错。音响音质不错！散热过得去！京东送货还行，我15下单17号上午就收到。（在这儿加点。这款机器的显卡说实话太低了，不过，机器给人的感觉沉稳，坚固！另补一点。左掌托处，有点松！再就是电池，拿出来一看就知道不行，比我天逸的还小！京东不送鼠标不爽，还有字数限制何时能改！）
11157,平板,0,"破手机,手机充满电,垃圾货 太垃圾了 这个电量都用不到半天,待机状态下电都掉的非常厉害，一天充几次电，从来不评论，第一次，因为实在太垃圾了"
37843,蒙牛,0,完了完了，垃圾蒙牛伊利要来欺负咱们的燕塘香满楼了 贷款，我要养奶牛。 转发微博。
54286,酒店,1,"帮家人订的,没什么好说的,香港的酒店嘛,有这样的性价比就可以了."
46574,衣服,0,售后太差，客服不搭理我
21218,水果,0,我购买的物品邮寄地址明明是江西吉安，我就不知道配送中心怎么会把它寄到天津去。真是大笑话。
24773,水果,0,千万别买，谁买谁后悔，一点都不好。
6188,平板,1,很美观，和描述的一样，用了看怎样
16037,手机,0,电池问题：N8是彩色双屏手机，它的待机时间当然不可能很长，一般有2-3天吧。照相功能：恐怕不敢恭维，对光度的要求很高，而且照的相比较小，模糊。此外，有个朋友提到，N8换个屏幕要1000多块，好象很贵。有一次我到三星的专修店修手机，恰好有一个人要换屏幕，报价是1600元！！！而那个手机我记得当时的价格是3500～4000左右。
15216,手机,0,我于九月四日购买，在付钱之后不到五分钟，在存电话号码的时候就死机，在拿回家之的连死两次机。每二天就拿去检测，很大问题。然后拿去退机，而且他们的服务态度很差，在你买手机的时候他们非常高兴，要说退的时候他们态度太养差了同，让我无法接受！
55201,酒店,1,"酒店总体不错,位置靠近香洲总站,房间安静舒适,床很大,有浴衣,美中不足是早餐非常一般,要去西餐厅吃.楼下的中餐厅提供早茶服务,需要自费不能挂帐.晚上叫夜宵到房间等了40分钟,都快睡着了.而且酒店附近没有其他吃饭的餐厅,美中不足!"
47977,衣服,0,第一次颜色发错了，很快就换了，但是换回的还是那个颜色，而且款式也给换了，客服很客气的让再次换货，可试问谁会有心情去换两次货呢
7743,平板,1,鹅蛋1860块买的，送了皮套送了钢化膜送阿乐视影视会员卡，然后就是包装，就是那个品牌店的包装，没有那个保护的哥包装这方面需要改进一下
21207,水果,0,没有对比就没有伤害，这次太袖珍了吧，到是挺整齐，都是这幺小，能有70mm就不错了
47626,衣服,0,穿了一次，扔了，你说好还是不好？
10160,平板,0,给女儿买的，她应该很喜欢！还没用，不晓得怎么样，国产的应该不会太差。问我为什么差评，就是为了让我有存在感，因为好评太多了！
50862,计算机,0,每次开机时音箱都有杂音，必须关机重启才可以，现在又不超过7天，但京东没货，换不了 痛苦~~~~
25616,水果,0,真不建议买，买回来有一个烂的不能看，一共12个好像，大概有8个里面是烂的，就像图一一样，当然没那么严重，吃到一半，发现有一部分烂了，真是不想说什么了。
6390,平板,1,帮朋友买的，非常到位，自己有一个M2，这个升级版非常强大
19453,水果,1,这个好吃，我做不到这个，味道不错，小孩也很喜欢
43184,衣服,1,花花公子牛仔性价比很高，超喜欢。
10640,平板,0,不太好用，电池也不行，而且用起来不好！
26543,洗发水,1,第一次买这么贵的，还没用，希望能好用，用后再来评价，我就是为了拿豆子
14302,手机,1,1、初次见v36的感觉是薄而平，厚度大概有1cm吧 这在直板机中目前已将算是最薄的，手感挺舒服，样子和755差不多，屏幕大，为了突出机器的薄键盘整体是平的，但按起来不肉，不涩，很顺畅。2、65536的彩屏确实很清晰，声音 铃声都很大，内置了二首原唱歌曲及经典的世界名曲，没有破音很醇厚。3、FM有些手机上有，比较人性化的功能，有些手机设置频道时很不方便，需要搜索，在保存，现在简单了，除了有手动搜索外，还有自动搜索，各各频道全部拿下，送的原装耳机也了得，超重低音，震撼你的耳膜，尽情去HI-FI吧。
21637,水果,0,大小不一，有的甚至特别小，有欺骗嫌疑
2040,书籍,1,书很好看，有孩子的特征，不是一味地向前讲故事，而是有停顿，可以留给孩子许多时间思考。
11796,平板,0,太长了不好看后悔买了它！不喜欢长方形的朋友们要买的话要慎重哦！
25657,水果,0,差评，第一次网上买水果，苹果小一点也就算了，用标签挡住苹果的坏点好过分。而且苹果里面完全被虫子蛀了；差评！！！！再也不来这一家买
48334,衣服,0,很不满意，很薄，没图片上看的实在，平时我买的都是两个加的很合适，在这买的两个加的确大了，*
9367,平板,0,分辨率太低，相素太差了与描述不符。
12936,平板,0,东西不错，但是说好送的皮套却没有货，感觉不好。既然要送为什么要缺货。
56881,酒店,1,服务良好，态度很好，感觉叫舒服。但房间窗子隔音不好，外面的噪音影响较敏感。位置不错，百米处就是包河。门前交通方便，离火车站飞机场都不算远。早餐一般，午晚餐未品尝过，出门右边不远的一条街上有些有特色的饭店。以后还会入住。
26325,洗发水,1,给老妈买滴，她喜欢用。超值！用后，头发很柔顺！
10840,平板,0,帮朋友买的，说的包装特别烂，用着也不怎么好
41989,衣服,1,很好，很不错，穿起来很舒服，下次还要买
56422,酒店,1,除了地段好之外，其他没有一样好的。宽带慢得像蜗牛，他们居然说就是这样。大堂和客房是在不同楼里，我登记后要拿行李出门去旁边的楼坐电梯。早餐也配五星酒店？吃得像农村一样。以后不会住的。
46594,衣服,0,这裤子卖128超级不值，质量差的恼火，要不是在云南偏僻地方必须得退回去
23053,水果,0,差评，苹果不大，一共16个，根本不到10斤。而且坏了一个，让妈妈拍图，她说已经将就吃了，最不满意的一次
